,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
300,Entire home/apt,2100.0,0.0,99.0,1.0,4.92,1.0,0.0,Entire guest suite
302,Entire home/apt,1415.0,0.0,99.0,1.0,4.72,1.0,0.0,Entire rental unit
304,Entire home/apt,997.0,1.0,100.0,1.0,4.67,1.0,0.0,Entire rental unit
305,Entire home/apt,800.0,0.0,0.0,1.0,4.39,1.0,0.0,Entire serviced apartment
308,Entire home/apt,1700.0,1.0,100.0,1.0,4.98,1.0,1.0,Entire condo
310,Entire home/apt,1200.0,0.0,60.0,1.0,4.8,1.0,0.0,Entire rental unit
311,Entire home/apt,1170.0,1.0,93.0,1.5,4.88,1.0,0.0,Entire home
312,Entire home/apt,1596.0,0.0,100.0,2.5,4.84,1.0,1.0,Entire rental unit
313,Entire home/apt,1114.0,0.0,99.0,2.5,4.8,1.0,0.0,Entire rental unit
314,Entire home/apt,550.0,1.0,89.0,1.0,4.9,1.0,0.0,Entire rental unit
315,Entire home/apt,890.0,1.0,100.0,1.0,4.91,1.0,0.0,Entire rental unit
316,Entire home/apt,1820.0,0.0,91.0,2.5,4.91,1.0,0.0,Entire townhouse
317,Entire home/apt,950.0,1.0,100.0,1.0,4.88,1.0,1.0,Entire loft
318,Entire home/apt,3692.0,1.0,100.0,2.0,4.9,1.0,1.0,Entire loft
319,Entire home/apt,950.0,0.0,50.0,1.0,4.87,1.0,0.0,Entire condo
320,Entire home/apt,3004.0,0.0,99.0,2.0,4.73,1.0,1.0,Entire rental unit
324,Entire home/apt,854.0,1.0,100.0,1.0,4.74,1.0,0.0,Entire rental unit
327,Entire home/apt,1114.0,1.0,95.0,1.0,4.83,1.0,0.0,Entire home
328,Entire home/apt,1719.0,1.0,96.0,1.5,4.78,1.0,1.0,Entire rental unit
329,Entire home/apt,6000.0,0.0,99.0,2.0,4.8,1.0,0.0,Entire rental unit
333,Entire home/apt,1696.0,1.0,99.0,1.0,4.83,1.0,1.0,Entire condo
335,Entire home/apt,1114.0,1.0,100.0,1.0,4.96,1.0,0.0,Entire loft
336,Entire home/apt,1714.0,0.0,97.0,2.0,4.88,1.0,1.0,Entire rental unit
337,Entire home/apt,571.0,1.0,100.0,1.0,4.57,1.0,0.0,Entire guest suite
339,Entire home/apt,2323.0,0.0,100.0,2.0,4.84,1.0,1.0,Entire rental unit
340,Entire home/apt,1114.0,0.0,99.0,2.0,4.8,0.0,0.0,Entire rental unit
342,Entire home/apt,647.0,1.0,97.0,1.0,4.9,1.0,0.0,Entire rental unit
343,Entire home/apt,2427.0,0.0,43.0,2.0,5.0,1.0,0.0,Entire rental unit
345,Entire home/apt,1114.0,0.0,100.0,4.0,4.57,1.0,1.0,Entire loft
346,Entire home/apt,1743.0,0.0,100.0,1.0,4.91,1.0,0.0,Entire rental unit
347,Entire home/apt,964.0,0.0,96.0,1.0,4.65,1.0,1.0,Entire rental unit
348,Entire home/apt,1707.0,1.0,100.0,2.0,4.88,1.0,0.0,Entire rental unit
349,Entire home/apt,1250.0,0.0,75.0,1.0,4.88,1.0,0.0,Entire rental unit
350,Entire home/apt,1415.0,0.0,97.0,1.0,4.92,1.0,1.0,Entire rental unit
351,Entire home/apt,1520.0,0.0,99.0,1.5,5.0,1.0,0.0,Entire rental unit
352,Entire home/apt,3449.0,1.0,96.0,3.0,4.91,1.0,0.0,Entire rental unit
355,Entire home/apt,1207.0,1.0,99.0,1.0,4.89,1.0,1.0,Entire rental unit
356,Entire home/apt,1404.0,1.0,99.0,1.0,4.85,1.0,1.0,Entire condo
357,Entire home/apt,930.0,1.0,78.0,2.0,4.76,1.0,0.0,Entire condo
359,Entire home/apt,1114.0,0.0,97.0,1.5,4.53,1.0,0.0,Entire rental unit
361,Entire home/apt,746.0,1.0,100.0,1.0,4.75,1.0,1.0,Entire rental unit
362,Entire home/apt,1557.0,0.0,99.0,2.0,4.87,1.0,0.0,Entire cabin
363,Entire home/apt,1193.0,1.0,99.0,1.0,4.82,1.0,1.0,Entire rental unit
365,Entire home/apt,1681.0,1.0,100.0,1.0,4.93,1.0,0.0,Entire rental unit
366,Entire home/apt,1577.0,0.0,75.0,2.0,4.92,1.0,1.0,Entire condo
370,Entire home/apt,919.0,0.0,98.0,1.0,4.84,1.0,1.0,Entire loft
371,Entire home/apt,1384.0,0.0,99.0,2.0,4.78,1.0,0.0,Entire rental unit
372,Entire home/apt,2325.0,0.0,99.0,2.0,4.85,1.0,0.0,Entire rental unit
373,Entire home/apt,748.0,0.0,100.0,1.0,4.69,1.0,0.0,Entire rental unit
375,Entire home/apt,1112.0,0.0,0.0,1.0,4.8,1.0,0.0,Entire rental unit
377,Entire home/apt,1400.0,0.0,97.0,1.0,4.72,1.0,1.0,Entire rental unit
378,Entire home/apt,809.0,1.0,100.0,1.0,4.88,1.0,0.0,Entire home
379,Entire home/apt,10111.0,1.0,100.0,1.0,4.88,1.0,0.0,Entire condo
380,Entire home/apt,1509.0,0.0,50.0,3.0,4.83,1.0,0.0,Entire condo
382,Entire home/apt,2022.0,1.0,95.0,1.0,4.96,1.0,0.0,Entire condo
384,Entire home/apt,1009.0,1.0,96.0,1.0,4.65,1.0,0.0,Entire loft
385,Entire home/apt,1605.0,0.0,40.0,1.0,4.78,1.0,1.0,Entire loft
386,Entire home/apt,2253.0,1.0,95.0,1.0,4.93,1.0,0.0,Entire rental unit
387,Entire home/apt,1618.0,0.0,93.0,1.0,4.96,1.0,0.0,Entire condo
388,Entire home/apt,1676.0,1.0,97.0,1.5,4.96,1.0,0.0,Entire loft
389,Entire home/apt,1820.0,0.0,96.0,1.0,4.79,1.0,0.0,Entire rental unit
390,Entire home/apt,1984.0,1.0,100.0,1.0,4.95,1.0,0.0,Entire rental unit
391,Entire home/apt,748.0,0.0,91.0,1.0,4.78,1.0,0.0,Entire condo
393,Entire home/apt,1860.0,0.0,99.0,2.0,4.97,1.0,0.0,Entire rental unit
394,Entire home/apt,737.0,0.0,100.0,1.0,4.74,1.0,1.0,Entire loft
397,Entire home/apt,1114.0,0.0,99.0,1.5,5.0,1.0,0.0,Entire condo
398,Entire home/apt,809.0,0.0,0.0,1.0,4.83,1.0,0.0,Entire rental unit
402,Entire home/apt,980.0,0.0,100.0,1.0,4.84,1.0,1.0,Entire rental unit
404,Entire home/apt,1080.0,0.0,97.0,1.0,4.76,1.0,1.0,Entire rental unit
407,Entire home/apt,1447.0,1.0,100.0,2.0,4.87,1.0,0.0,Entire condo
408,Entire home/apt,1114.0,0.0,99.0,2.0,4.89,1.0,0.0,Entire condo
417,Entire home/apt,1114.0,0.0,76.0,1.0,4.0,1.0,0.0,Entire home
418,Entire home/apt,586.0,0.0,0.0,1.0,4.81,1.0,0.0,Entire loft
419,Entire home/apt,927.0,1.0,99.0,1.5,4.84,1.0,1.0,Entire loft
420,Entire home/apt,1114.0,0.0,99.0,1.5,4.97,0.0,0.0,Entire loft
424,Entire home/apt,1400.0,0.0,100.0,2.0,4.72,1.0,1.0,Entire rental unit
426,Entire home/apt,1106.0,0.0,95.0,1.0,4.75,1.0,0.0,Entire rental unit
427,Entire home/apt,31386.0,0.0,99.0,2.0,4.92,1.0,0.0,Entire rental unit
430,Entire home/apt,1750.0,1.0,97.0,1.0,4.79,1.0,1.0,Entire rental unit
431,Entire home/apt,1750.0,1.0,97.0,1.0,4.9,1.0,1.0,Entire rental unit
435,Entire home/apt,500.0,0.0,99.0,1.0,4.0,1.0,0.0,Entire loft
436,Entire home/apt,855.0,1.0,100.0,1.0,4.89,1.0,0.0,Entire loft
437,Entire home/apt,1114.0,0.0,100.0,1.0,4.74,1.0,0.0,Entire loft
438,Entire home/apt,3391.0,1.0,98.0,2.0,4.87,1.0,0.0,Entire rental unit
440,Entire home/apt,1314.0,0.0,98.0,1.0,4.79,1.0,1.0,Entire rental unit
441,Entire home/apt,1017.0,0.0,98.0,1.0,4.79,1.0,1.0,Entire loft
443,Entire home/apt,1395.0,1.0,93.0,2.0,4.87,1.0,1.0,Entire loft
444,Entire home/apt,1114.0,0.0,99.0,2.0,4.62,0.0,0.0,Entire guesthouse
445,Entire home/apt,2357.0,0.0,97.0,1.0,4.5,1.0,1.0,Entire rental unit
447,Entire home/apt,1135.0,1.0,91.0,2.0,4.76,1.0,0.0,Entire rental unit
449,Entire home/apt,1166.0,1.0,98.0,1.5,4.9,1.0,0.0,Entire rental unit
450,Entire home/apt,526.0,0.0,14.0,1.0,4.5,1.0,0.0,Entire home
451,Entire home/apt,12000.0,0.0,100.0,5.5,4.64,1.0,0.0,Entire townhouse
456,Entire home/apt,1746.0,0.0,100.0,1.0,4.95,1.0,1.0,Entire rental unit
457,Entire home/apt,959.0,0.0,100.0,1.0,4.8,1.0,0.0,Entire loft
459,Entire home/apt,1114.0,0.0,100.0,1.0,4.78,1.0,0.0,Entire rental unit
462,Entire home/apt,1618.0,1.0,100.0,2.0,4.92,1.0,1.0,Entire rental unit
463,Entire home/apt,1750.0,1.0,97.0,1.0,4.78,1.0,1.0,Entire rental unit
466,Entire home/apt,1900.0,0.0,50.0,2.0,5.0,1.0,0.0,Entire loft
467,Entire home/apt,548.0,0.0,93.0,1.0,4.77,1.0,0.0,Entire home
469,Entire home/apt,1239.0,0.0,97.0,1.0,4.89,1.0,0.0,Entire rental unit
470,Entire home/apt,829.0,0.0,42.0,1.5,4.78,1.0,0.0,Entire condo
474,Entire home/apt,1415.0,0.0,0.0,2.0,4.8,1.0,0.0,Entire rental unit
476,Entire home/apt,820.0,0.0,99.0,1.0,4.5,1.0,1.0,Entire rental unit
477,Entire home/apt,1944.0,1.0,69.0,2.0,4.96,1.0,0.0,Entire condo
478,Entire home/apt,3000.0,0.0,0.0,2.0,4.75,1.0,0.0,Entire rental unit
479,Entire home/apt,1739.0,1.0,100.0,1.0,4.99,1.0,0.0,Entire rental unit
480,Entire home/apt,1990.0,1.0,96.0,1.5,4.91,1.0,0.0,Entire serviced apartment
481,Entire home/apt,910.0,1.0,100.0,1.0,4.99,1.0,0.0,Entire guest suite
