,room_type,price,host_is_superhost,host_acceptance_rate,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
611,Private room,1114.0,0.0,99.0,2.0,4.69,0.0,0.0,Private room in rental unit
616,Private room,990.0,0.0,99.0,2.0,4.33,1.0,0.0,Private room in rental unit
617,Private room,850.0,0.0,86.0,1.0,4.89,1.0,0.0,Private room in home
619,Private room,300.0,0.0,71.0,1.0,4.76,1.0,0.0,Private room in home
620,Private room,850.0,0.0,98.0,1.0,4.96,1.0,0.0,Private room in condo
626,Private room,5891.0,0.0,100.0,1.0,4.95,1.0,1.0,Private room in home
629,Private room,469.0,0.0,100.0,3.0,4.69,1.0,1.0,Private room in home
630,Private room,440.0,0.0,99.0,1.5,1.0,0.0,0.0,Private room in rental unit
639,Private room,410.0,1.0,100.0,1.5,4.72,1.0,0.0,Private room in home
642,Private room,689.0,1.0,97.0,1.0,4.97,1.0,0.0,Private room in rental unit
643,Private room,736.0,0.0,99.0,1.0,4.8,1.0,0.0,Private room in rental unit
644,Private room,610.0,0.0,91.0,1.0,4.88,1.0,0.0,Private room in condo
645,Private room,510.0,0.0,91.0,1.0,4.89,1.0,0.0,Private room in condo
646,Private room,1114.0,0.0,99.0,1.0,5.0,1.0,0.0,Private room in rental unit
647,Private room,300.0,0.0,0.0,1.0,4.0,1.0,0.0,Private room in home
650,Private room,1114.0,0.0,99.0,2.0,4.92,1.0,0.0,Private room in condo
654,Private room,350.0,0.0,90.0,1.0,4.58,1.0,0.0,Private room in home
656,Private room,255.0,0.0,73.0,1.0,4.86,1.0,0.0,Private room in condo
657,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in home
660,Private room,500.0,1.0,86.0,1.5,4.95,1.0,0.0,Private room in casa particular
664,Private room,390.0,0.0,99.0,1.0,5.0,1.0,0.0,Private room in rental unit
666,Private room,1114.0,0.0,54.0,1.0,4.71,1.0,0.0,Private room in rental unit
667,Private room,780.0,0.0,99.0,1.0,4.93,1.0,0.0,Private room in rental unit
670,Private room,2831.0,0.0,100.0,2.5,5.0,1.0,0.0,Private room in home
672,Private room,1279.0,1.0,68.0,1.5,4.99,1.0,0.0,Private room in condo
683,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in home
684,Private room,1114.0,0.0,82.0,1.0,4.73,1.0,0.0,Private room in rental unit
685,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in home
687,Private room,1114.0,0.0,99.0,2.0,4.8,0.0,0.0,Private room in rental unit
688,Private room,550.0,0.0,95.0,1.0,4.71,1.0,0.0,Private room in guest suite
691,Private room,350.0,1.0,100.0,1.0,4.65,1.0,0.0,Private room in rental unit
697,Private room,1891.0,1.0,96.0,1.0,4.99,1.0,0.0,Private room in loft
701,Private room,650.0,0.0,54.0,1.0,4.94,1.0,0.0,Private room in home
706,Private room,971.0,1.0,99.0,1.0,4.86,1.0,1.0,Private room in rental unit
707,Private room,749.0,0.0,100.0,1.0,4.73,1.0,1.0,Private room in guesthouse
708,Private room,280.0,1.0,89.0,1.0,5.0,1.0,0.0,Private room in rental unit
713,Private room,400.0,0.0,9.0,1.0,4.72,1.0,0.0,Private room in rental unit
718,Private room,1114.0,0.0,96.0,3.0,4.62,1.0,0.0,Private room in condo
719,Private room,230.0,1.0,79.0,1.0,4.67,1.0,0.0,Private room in home
720,Private room,230.0,1.0,79.0,1.0,4.85,1.0,0.0,Private room in home
722,Private room,607.0,0.0,0.0,1.0,4.8,1.0,0.0,Private room in rental unit
724,Private room,1450.0,0.0,100.0,2.0,4.95,1.0,1.0,Private room in home
727,Private room,800.0,0.0,50.0,1.5,5.0,1.0,0.0,Private room in rental unit
728,Private room,600.0,1.0,100.0,1.5,4.94,1.0,0.0,Private room in home
733,Private room,1114.0,0.0,99.0,1.0,5.0,1.0,1.0,Private room in townhouse
734,Private room,1000.0,0.0,99.0,1.5,5.0,1.0,0.0,Private room in home
736,Private room,1114.0,0.0,100.0,1.5,4.56,1.0,1.0,Private room in home
737,Private room,1114.0,0.0,100.0,1.5,4.59,1.0,1.0,Private room in home
738,Private room,270.0,0.0,0.0,1.0,4.45,1.0,0.0,Private room in rental unit
741,Private room,236.0,1.0,100.0,1.0,5.0,1.0,0.0,Private room in rental unit
742,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
752,Private room,682.0,0.0,0.0,2.5,4.8,1.0,0.0,Private room in home
753,Private room,506.0,1.0,93.0,1.5,4.49,1.0,0.0,Private room in townhouse
754,Private room,370.0,1.0,89.0,1.5,4.93,1.0,0.0,Private room in rental unit
755,Private room,1114.0,0.0,99.0,1.5,5.0,0.0,0.0,Private room in home
761,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in home
769,Private room,250.0,1.0,100.0,1.0,4.94,1.0,1.0,Private room in home
770,Private room,1114.0,0.0,99.0,1.0,5.0,0.0,0.0,Private room in home
771,Private room,406.0,1.0,100.0,1.0,4.84,1.0,0.0,Private room in rental unit
773,Private room,400.0,1.0,44.0,1.0,4.71,1.0,0.0,Private room in condo
777,Private room,700.0,0.0,0.0,1.0,4.4,1.0,0.0,Private room in home
778,Private room,1114.0,0.0,100.0,1.0,4.9,1.0,0.0,Private room in rental unit
779,Private room,780.0,1.0,99.0,1.0,4.99,1.0,0.0,Private room in bed and breakfast
783,Private room,550.0,0.0,67.0,1.0,4.97,1.0,0.0,Private room in rental unit
784,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
785,Private room,377.0,0.0,100.0,1.0,4.31,1.0,1.0,Private room in rental unit
786,Private room,534.0,0.0,99.0,1.0,4.91,1.0,0.0,Private room in rental unit
788,Private room,1114.0,0.0,100.0,1.0,4.56,1.0,1.0,Private room in home
795,Private room,290.0,0.0,0.0,1.0,4.4,1.0,0.0,Private room in rental unit
797,Private room,1114.0,0.0,17.0,1.0,5.0,1.0,0.0,Private room in serviced apartment
799,Private room,500.0,0.0,92.0,1.5,4.95,1.0,0.0,Private room in home
801,Private room,688.0,0.0,99.0,1.0,4.64,1.0,0.0,Private room in condo
803,Private room,850.0,0.0,19.0,2.0,4.91,1.0,0.0,Private room in rental unit
806,Private room,10161.0,0.0,33.0,7.0,4.8,1.0,0.0,Private room in bed and breakfast
807,Private room,13144.0,0.0,33.0,7.0,4.8,1.0,0.0,Private room in bed and breakfast
808,Private room,428.0,1.0,97.0,1.0,4.99,1.0,0.0,Private room in condo
809,Private room,229.0,1.0,100.0,1.0,4.59,1.0,0.0,Private room in home
814,Private room,590.0,0.0,33.0,1.0,4.98,1.0,0.0,Private room in rental unit
815,Private room,350.0,1.0,100.0,1.0,4.74,1.0,1.0,Private room in rental unit
817,Private room,404.0,0.0,36.0,3.0,4.76,1.0,0.0,Private room in home
818,Private room,1114.0,1.0,100.0,3.0,4.91,1.0,1.0,Private room in home
825,Private room,1114.0,0.0,99.0,3.0,4.8,0.0,0.0,Private room in rental unit
827,Private room,594.0,0.0,99.0,2.0,4.97,1.0,1.0,Private room in home
829,Private room,809.0,1.0,100.0,1.0,4.81,1.0,0.0,Private room in rental unit
832,Private room,1114.0,0.0,99.0,1.5,4.88,1.0,0.0,Private room in rental unit
833,Private room,463.0,0.0,100.0,3.0,4.57,1.0,1.0,Private room in home
834,Private room,9100.0,0.0,33.0,7.0,4.8,1.0,0.0,Private room in bed and breakfast
835,Private room,11122.0,0.0,33.0,10.0,5.0,1.0,0.0,Private room in bed and breakfast
836,Private room,855.0,1.0,100.0,1.0,4.86,1.0,0.0,Private room in home
837,Private room,809.0,1.0,100.0,1.0,4.79,1.0,0.0,Private room in home
838,Private room,600.0,1.0,100.0,1.0,4.86,1.0,0.0,Private room in rental unit
840,Private room,392.0,0.0,100.0,3.0,4.63,1.0,1.0,Private room in home
843,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
844,Private room,1114.0,0.0,99.0,1.0,4.8,0.0,0.0,Private room in rental unit
849,Private room,1114.0,0.0,99.0,1.0,4.8,1.0,0.0,Room in hotel
852,Private room,1000.0,0.0,99.0,1.5,5.0,1.0,0.0,Private room in rental unit
855,Private room,650.0,1.0,100.0,1.0,4.93,1.0,0.0,Private room in rental unit
856,Private room,662.0,1.0,100.0,1.0,4.52,1.0,0.0,Private room in rental unit
857,Private room,990.0,0.0,52.0,0.0,5.0,1.0,0.0,Private room in rental unit
859,Private room,1114.0,0.0,99.0,2.5,4.87,1.0,0.0,Private room in home
860,Private room,1114.0,0.0,99.0,2.5,4.8,0.0,0.0,Private room in rental unit
861,Private room,7077.0,0.0,33.0,7.0,4.8,1.0,0.0,Private room in bed and breakfast
864,Private room,430.0,0.0,67.0,0.0,4.48,1.0,0.0,Private room in condo
